loc_code	date	lab_project_id	lab_sample_id	chem_variable	value	units	below_loq	loq	elneutr
ZWAP206	2011-04-14	0	10427	Fe	0.0017905103	meq/l	NA	-99	-0.334797
ZWAP165	2011-04-14	0	10428	CondL	122	<U+00B5>S/cm	NA	-99	0.129896
ZWAP165	2011-04-14	0	10428	Fe	0.4019337511	meq/l	NA	-99	0.129896
ZWAP205	2011-04-14	0	10429	CondL	83	<U+00B5>S/cm	NA	-99	0.072944
ZWAP205	2011-04-14	0	10429	Fe	0.0717636526	meq/l	NA	-99	0.072944
ZWAP221	2011-04-14	0	10430	CondL	66	<U+00B5>S/cm	NA	-99	0.122291
ZWAP221	2011-04-14	0	10430	Fe	0.1680214861	meq/l	NA	-99	0.122291
ZWAP033	2011-04-14	0	10431	CondL	372	<U+00B5>S/cm	NA	-99	0.610484
ZWAP033	2011-04-14	0	10431	Fe	2.1775828111	meq/l	NA	-99	0.610484
ZWAP219	2011-04-11	0	10432	CondL	215	<U+00B5>S/cm	NA	-99	-0.009577
ZWAP219	2011-04-11	0	10432	Fe	0.0017905103	meq/l	NA	-99	-0.009577
ZWAP224	2011-04-11	0	10433	CondL	90	<U+00B5>S/cm	NA	-99	0.089986
ZWAP224	2011-04-11	0	10433	Fe	0.0166159355	meq/l	NA	-99	0.089986
ZWAP227	2011-04-11	0	10434	CondL	105	<U+00B5>S/cm	NA	-99	0.024141
ZWAP227	2011-04-11	0	10434	Fe	0.0183348254	meq/l	NA	-99	0.024141
